Date/Time,4/13/2021,14:43:14,BEAM_PROFILE_Y
Distance (μm),Intensity (cnts),,
2380.05,79,,
2383.74,86,,
2387.43,76,,
2391.12,80,,
2394.81,86,,
2398.5,84,,
2402.19,84,,
2405.88,89,,
2409.57,78,,
2413.26,85,,
2416.95,77,,
2420.64,79,,
2424.33,79,,
2428.02,83,,
2431.71,79,,
2435.4,78,,
2439.09,84,,
2442.78,81,,
2446.47,85,,
2450.16,80,,
2453.85,86,,
2457.54,86,,
2461.23,76,,
2464.92,79,,
2468.61,84,,
2472.3,91,,
2475.99,85,,
2479.68,83,,
2483.37,74,,
2487.06,82,,
2490.75,80,,
2494.44,85,,
2498.13,86,,
2501.82,84,,
2505.51,82,,
2509.2,82,,
2512.89,87,,
2516.58,87,,
2520.27,87,,
2523.96,80,,
2527.65,84,,
2531.34,75,,
2535.03,84,,
2538.72,96,,
2542.41,98,,
2546.1,90,,
2549.79,82,,
2553.48,79,,
2557.17,84,,
2560.86,93,,
2564.55,90,,
2568.24,84,,
2571.93,75,,
2575.62,77,,
2579.31,92,,
2583,99,,
2586.69,115,,
2590.38,103,,
2594.07,85,,
2597.76,92,,
2601.45,109,,
2605.14,142,,
2608.83,146,,
2612.52,125,,
2616.21,93,,
2619.9,96,,
2623.59,136,,
2627.28,221,,
2630.97,247,,
2634.66,203,,
2638.35,122,,
2642.04,140,,
2645.73,450,,
2649.42,1105,,
2653.11,2038,,
2656.8,3141,,
2660.49,3719,,
2664.18,3856,,
2667.87,3368,,
2671.56,2466,,
2675.25,1368,,
2678.94,574,,
2682.63,166,,
2686.32,106,,
2690.01,193,,
2693.7,267,,
2697.39,245,,
2701.08,166,,
2704.77,92,,
2708.46,82,,
2712.15,111,,
2715.84,145,,
2719.53,151,,
2723.22,124,,
2726.91,93,,
2730.6,76,,
2734.29,88,,
2737.98,110,,
2741.67,110,,
2745.36,95,,
2749.05,86,,
2752.74,80,,
2756.43,90,,
2760.12,89,,
2763.81,100,,
2767.5,96,,
2771.19,81,,
2774.88,76,,
2778.57,89,,
2782.26,99,,
2785.95,96,,
2789.64,90,,
2793.33,79,,
2797.02,76,,
2800.71,87,,
2804.4,94,,
2808.09,91,,
2811.78,84,,
2815.47,81,,
2819.16,82,,
2822.85,80,,
2826.54,79,,
2830.23,86,,
2833.92,86,,
2837.61,77,,
2841.3,80,,
2844.99,78,,
2848.68,81,,
2852.37,83,,
2856.06,78,,
2859.75,77,,
2863.44,84,,
2867.13,80,,
2870.82,84,,
2874.51,84,,
2878.2,86,,
2881.89,77,,
2885.58,77,,
2889.27,84,,
2892.96,87,,
2896.65,87,,
2900.34,84,,
2904.03,84,,
2907.72,82,,
2911.41,73,,
2915.1,82,,
2918.79,84,,
2922.48,84,,
2926.17,85,,
2929.86,75,,
2933.55,81,,
2937.24,87,,
2940.93,84,,
2944.62,82,,
2948.31,81,,
2952,79,,
2955.69,83,,
2959.38,75,,
2963.07,74,,
2966.76,77,,
2970.45,78,,
2974.14,78,,
2977.83,77,,
2981.52,75,,
2985.21,80,,
2988.9,77,,
2992.59,77,,
2996.28,79,,
2999.97,78,,
3003.66,82,,
3007.35,85,,
3011.04,78,,
3014.73,77,,
3018.42,74,,
3022.11,80,,
3025.8,81,,
3029.49,82,,
3033.18,85,,
3036.87,74,,
3040.56,74,,
